食物名称,分类,可食部%,能量kcal,蛋白质g,脂肪g,碳水化合物g,膳食纤维g,胆固醇mg,钠mg,钙mg,铁mg,维生素Cmg
大米（粳米）,谷类,100,347,7.7,0.6,77.4,0.6,0,2.4,11,1.1,0
大米（籼米）,谷类,100,347,7.9,0.6,77.2,0.5,0,1.8,7,1.3,0
糯米（江米）,谷类,100,350,7.3,1.0,78.3,0.8,0,1.5,26,1.4,0
小麦粉（标准粉）,谷类,100,345,11.2,1.5,73.6,2.1,0,3.1,31,3.5,0
小麦粉（富强粉）,谷类,100,350,10.3,1.1,75.2,0.6,0,2.7,27,2.7,0
面条（挂面）,谷类,100,348,10.1,0.7,76.0,1.6,0,150.0,14,3.0,0
面条（煮）,谷类,100,109,2.7,0.2,24.2,0.5,0,4.0,12,0.6,0
馒头（蒸）,谷类,100,223,7.0,1.1,47.0,1.5,0,165.0,38,1.8,0
花卷,谷类,100,217,6.4,1.0,45.6,1.4,0,187.0,19,0.9,0
面包,谷类,100,313,8.3,5.1,58.6,0.5,0,282.0,49,2.0,0
饼干,谷类,100,435,9.0,12.7,70.6,1.1,0,204.0,73,1.9,0
燕麦片,谷类,100,377,15.0,6.7,61.6,5.3,0,3.7,186,7.0,0
小米,谷类,100,361,9.0,3.1,75.1,1.6,0,4.3,41,5.1,0
玉米（鲜）,谷类,46,112,4.0,1.2,22.8,2.9,0,1.1,0,1.1,16
玉米（干）,谷类,100,348,8.7,3.8,66.6,6.4,0,3.3,14,2.4,0
玉米面,谷类,100,353,8.1,3.3,69.6,5.6,0,2.3,22,3.2,0
黑米,谷类,100,341,9.4,2.5,68.3,3.9,0,7.1,12,1.6,0
薏米（薏苡仁）,谷类,100,360,12.8,3.3,69.1,2.0,0,3.6,42,3.6,0
荞麦,谷类,100,337,9.3,2.3,66.5,6.5,0,4.7,47,6.2,0
高粱米,谷类,100,360,10.4,3.1,70.4,4.3,0,6.3,22,6.3,0
红薯（甘薯）,薯类,90,86,1.6,0.2,20.1,1.6,0,28.5,23,0.5,26
土豆（马铃薯）,薯类,94,81,2.6,0.2,17.8,0.7,0,2.7,8,0.8,27
山药,薯类,88,57,1.9,0.2,12.4,0.8,0,18.6,16,0.3,5
芋头,薯类,84,56,1.3,0.2,12.7,1.0,0,33.1,36,1.0,6
木薯,薯类,90,116,2.1,0.3,27.8,1.6,0,8.0,88,2.5,35
藕（莲藕）,薯类,88,47,1.9,0.2,11.5,1.2,0,44.2,39,1.4,44
荸荠（马蹄）,薯类,78,61,1.2,0.2,14.2,1.1,0,15.7,4,0.6,7
葛根,薯类,85,181,2.2,0.2,43.4,2.4,0,10.0,32,2.4,0
豆腐（北）,豆制品,100,98,12.2,4.8,1.5,0.5,0,7.2,138,2.5,0
