name,kcal_per_100g,protein_g,fat_g,carb_g,category
蛋挞,290,5,17,27,零食点心
米饭,116,2.6,0.3,25.9,主食
馒头,223,7,1.1,47,主食
面条,110,4.5,0.5,22,主食
白面包,265,9,3.2,49,主食
鸡胸肉,133,31,3.6,0,肉蛋
鸡蛋,144,13,9,1.1,肉蛋
牛奶,54,3.2,3.6,4.8,奶制品
苹果,52,0.3,0.2,13.5,蔬果
香蕉,93,1.1,0.3,22,蔬果
可乐,43,0,0,10.6,饮料
奶茶,70,,, ,饮料
炸鸡,280,15,17,15,快餐
薯条,298,3.4,15,35,快餐
番茄,18,0.9,0.2,3.5,蔬果
黄瓜,16,0.8,0.2,2.9,蔬果
牛肉,250,20,15,0,肉蛋
猪肉,395,13,37,0,肉蛋
三文鱼,208,20,13,0,水产
豆腐,76,8,4.8,1.9,豆制品
酸奶,72,3.2,3.2,4.7,奶制品
啤酒,43,0.4,0,3.6,饮料
西瓜,30,0.6,0.1,7.6,蔬果
燕麦,389,15,7,66,主食
花生,567,26,49,16,坚果
豆浆,31,3.2,1.6,1.2,豆制品
红薯,86,1.1,0.2,20,主食
菠菜,23,2.6,0.3,3.6,蔬果
橙子,47,0.8,0.2,11,蔬果
核桃,654,15,65,14,坚果
