case_id,group,expected,guard_off_hits,guard_on_hits,pass
hard-fish-sea,A,block:鲈鱼,0,1,True
hard-crustacean-sea,A,block:虾,0,1,True
hard-fish-sour,A,block:鱼,0,1,True
hard-crustacean-shrimp-skin,A,block:虾皮,0,1,True
hard-crustacean-crab,A,block:蟹,0,1,True
hard-milk-milk-pastry,A,block:奶,0,1,True
hard-sesame-paste,A,block:麻酱,0,1,True
hard-sesame-pudding,A,block:芝麻糊,0,1,True
hard-soy-douchi,A,block:豆豉,0,1,True
hard-gluten-cake,A,block:蛋糕,0,1,True
safe-fish-fragrant,C,clean,0,0,True
safe-egg-protein,C,clean,0,0,True
safe-crab-stick,C,clean,0,0,True
safe-milk-latex,C,clean,0,0,True
safe-nuts-wood,C,clean,0,0,True
safe-fish-mushroom,C,clean,0,0,True
safe-milk-cabbage,C,clean,0,0,True
safe-gluten-broccoli,C,clean,0,0,True
safe-peanut-greens,C,clean,0,0,True
safe-soy-rib-soup,C,clean,0,0,True
chronic-hypertension-salt,B,chronic:高血压,1,1,True
chronic-hypertension-soy,B,chronic:高血压,1,1,True
chronic-diabetes-honey,B,chronic:糖尿病,1,1,True
chronic-diabetes-fat,B,chronic:糖尿病,1,1,True
chronic-lipid-butter,B,chronic:高脂血症,2,2,True
chronic-gout-liver,B,chronic:痛风,2,2,True
chronic-kidney-soup,B,chronic:慢性肾脏病,2,2,True
chronic-obesity-sugar,B,chronic:肥胖,1,1,True
chronic-pregnancy-raw,B,chronic:孕期,2,2,True
chronic-hypertension-alt,B,chronic:高血压,1,1,True
project-01,external_project,restricted-if-hit,0,0,True
project-02,external_project,restricted-if-hit,0,0,True
project-03,external_project,restricted-if-hit,0,0,True
project-04,external_project,restricted-if-hit,0,0,True
project-05,external_project,restricted-if-hit,0,0,True
project-06,external_project,restricted-if-hit,0,0,True
project-07,external_project,restricted-if-hit,0,0,True
project-08,external_project,restricted-if-hit,0,0,True
project-09,external_project,restricted-if-hit,0,1,True
project-10,external_project,restricted-if-hit,0,1,True
project-11,external_project,restricted-if-hit,0,1,True
project-12,external_project,restricted-if-hit,0,1,True
project-13,external_project,restricted-if-hit,0,1,True
project-14,external_project,restricted-if-hit,0,1,True
project-15,external_project,restricted-if-hit,0,1,True
project-16,external_project,restricted-if-hit,0,1,True
project-17,external_project,restricted-if-hit,0,1,True
project-18,external_project,restricted-if-hit,0,1,True
project-19,external_project,restricted-if-hit,0,0,True
project-20,external_project,restricted-if-hit,0,0,True
internet-01,external_internet,restricted-if-hit,0,1,True
internet-02,external_internet,restricted-if-hit,0,1,True
internet-03,external_internet,restricted-if-hit,0,1,True
internet-04,external_internet,restricted-if-hit,0,1,True
internet-05,external_internet,restricted-if-hit,0,1,True
internet-06,external_internet,restricted-if-hit,0,1,True
internet-07,external_internet,restricted-if-hit,0,1,True
internet-08,external_internet,restricted-if-hit,0,1,True
internet-09,external_internet,restricted-if-hit,0,1,True
internet-10,external_internet,restricted-if-hit,0,2,True
internet-11,external_internet,restricted-if-hit,0,0,True
internet-12,external_internet,restricted-if-hit,0,0,True
internet-13,external_internet,restricted-if-hit,0,0,True
internet-14,external_internet,restricted-if-hit,0,0,True
internet-15,external_internet,restricted-if-hit,0,0,True
internet-16,external_internet,restricted-if-hit,0,0,True
internet-17,external_internet,restricted-if-hit,0,0,True
internet-18,external_internet,restricted-if-hit,0,0,True
internet-19,external_internet,restricted-if-hit,0,0,True
internet-20,external_internet,restricted-if-hit,0,0,True
