case_id,group,text,allergen,expected,guard_off_hits,guard_on_hits,notice_hits,pass
hard-fish-sea,hard,清蒸鲈鱼配米饭,海鲜过敏,hard:鲈鱼,0,1,0,True
hard-crustacean-sea,hard,蒜蓉粉丝虾,海鲜过敏,hard:虾,0,1,0,True
hard-fish-sour,hard,酸菜鱼,鱼类过敏,hard:鱼,0,1,0,True
hard-crustacean-shrimp-skin,hard,虾皮冬瓜汤,虾过敏,hard:虾皮,0,1,0,True
hard-crustacean-crab,hard,香辣蟹,蟹过敏,hard:蟹,0,1,0,True
hard-milk-milk-pastry,hard,奶酥面包,牛奶过敏,hard:奶,0,1,0,True
hard-sesame-paste,hard,麻酱拌面,芝麻过敏,hard:麻酱,0,1,0,True
hard-sesame-pudding,hard,黑芝麻糊,芝麻过敏,hard:芝麻糊,0,1,0,True
hard-soy-douchi,hard,豆豉蒸排骨,大豆过敏,hard:豆豉,0,1,0,True
hard-gluten-cake,hard,奶油蛋糕,小麦过敏,hard:蛋糕,0,1,0,True
hard-egg-mayo,hard,蛋黄酱三明治,鸡蛋过敏,hard:蛋黄酱,0,1,0,True
hard-peanut-kung-pao,hard,宫保鸡丁放花生米,花生过敏,hard:花生,0,1,0,True
hard-nuts-cashew,hard,腰果虾仁,坚果过敏,hard:腰果,0,1,0,True
hard-mollusc-scallop,hard,蒜蓉扇贝,贝类过敏,hard:扇贝,0,1,0,True
hard-sulphite,hard,亚硫酸盐处理果干,亚硫酸盐过敏,hard:亚硫酸盐,0,1,0,True
notice-milk-cake,notice,生日蛋糕,牛奶过敏,notice:蛋糕,0,0,1,True
notice-milk-cake-plain,notice,生日蛋糕,牛奶过敏,notice:蛋糕,0,0,1,True
notice-crustacean-xo,notice,XO酱炒饭,甲壳类过敏,notice:XO酱,0,0,1,True
notice-milk-salad-dressing,notice,蔬菜沙拉配沙拉酱,牛奶过敏,notice:沙拉酱,0,0,1,True
notice-nuts-chocolate,notice,巧克力,坚果过敏,notice:巧克力,0,0,1,True
safe-fish-fragrant,safe,鱼香肉丝,鱼过敏,clean,0,0,0,True
safe-egg-protein,safe,优质蛋白质,蛋过敏,clean,0,0,0,True
safe-crab-stick,safe,蟹柳,蟹过敏,clean,0,0,0,True
safe-milk-latex,safe,乳胶手套,乳过敏,clean,0,0,0,True
safe-nuts-wood,safe,核桃木餐桌,坚果过敏,clean,0,0,0,True
safe-fish-mushroom,safe,海鲜菇汤,鱼过敏,clean,0,0,0,True
safe-milk-cabbage,safe,奶白菜,牛奶过敏,clean,0,0,0,True
safe-gluten-broccoli,safe,清炒西兰花,麸质过敏,clean,0,0,0,True
safe-peanut-greens,safe,蒜蓉青菜,花生过敏,clean,0,0,0,True
safe-soy-rib-soup,safe,冬瓜排骨汤,大豆过敏,clean,0,0,0,True
